name,url,remote_testing,adaptive_irt,test_type,duration
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,No,No,K,Assessment length
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,No,No,K,Assessment length
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,No,No,K,Assessment length
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,No,No,P,Assessment length
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,No,No,K,Assessment length
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,No,No,K,Assessment length
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,No,No,K,Assessment length
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,No,No,P,
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,No,No,P,
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,No,No,K,Assessment length
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,No,No,K,Assessment length
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,No,No,K,Assessment length
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,No,No,P,
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,No,No,K,Assessment length
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,No,No,K,Assessment length
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,No,No,K,Assessment length
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,No,No,K,Assessment length
Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,No,No,K,Assessment length
Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,No,No,K,Assessment length
Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,No,No,K,Assessment length
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,No,No,K,Assessment length
Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/,No,No,K,Assessment length
Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/,No,No,P,
Enterprise Leadership Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,No,No,P,
Entry Level Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution/,No,No,"C
P",Assessment length
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,No,No,"P
C",Assessment length
Entry Level Customer Service (General) Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/,No,No,"C
P",Assessment length
Entry Level Hotel Front Desk Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,No,No,"C
P",Assessment length
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,No,No,"C
P",Assessment length
Entry Level Technical Support Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution/,No,No,"P
C",Assessment length
ETL Testing (New),https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new/,No,No,K,Assessment length
Executive Scenarios,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios/,No,No,B,Assessment length
Executive Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,No,No,B,
Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,No,No,B,
ExpressJS (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,No,No,K,Assessment length
Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,No,No,K,Assessment length
Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,No,No,K,Assessment length
Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,No,No,K,Assessment length
Financial and Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,No,No,K,Assessment length
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,No,No,K,Assessment length
Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,No,No,K,Assessment length
Following Instructions v1 - US (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,No,No,K,Assessment length
Food and Beverage Services (New),https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,No,No,K,Assessment length
Food Science (New),https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,No,No,K,Assessment length
Front Office Management (New),https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,No,No,K,Assessment length
Fundamentals of Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,No,No,K,Assessment length
Fundamentals of Physics (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new/,No,No,K,Assessment length
General Diseases (New),https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new/,No,No,K,Assessment length
Geoinformatics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/,No,No,K,Assessment length
Geoscience Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/,No,No,K,Assessment length
GIT (New),https://www.shl.com/solutions/products/product-catalog/view/git-new/,No,No,K,Assessment length
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,No,No,"C
K",Assessment length
Graduate Scenarios,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios/,No,No,B,Assessment length
Graduate Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,No,No,B,
Graduate Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,No,No,B,
Hibernate (New),https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/,No,No,K,Assessment length
HIPAA (Security),https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/,No,No,K,Assessment length
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,No,No,"C
P",
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,No,No,"C
P",
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,No,No,C,
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,No,No,K,Assessment length
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,No,No,K,Assessment length
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,No,No,K,Assessment length
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,No,No,K,Assessment length
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,No,No,K,Assessment length
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,No,No,K,Assessment length
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,No,No,K,Assessment length
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,No,No,K,Assessment length
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,No,No,K,Assessment length
Instrumentation Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new/,No,No,K,Assessment length
Interpersonal Communications,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,No,No,K,Assessment length
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,No,No,K,Assessment length
iOS Development (New),https://www.shl.com/solutions/products/product-catalog/view/ios-development-new/,No,No,K,Assessment length
ITIL (IT Infrastructure Library) (New),https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,No,No,K,Assessment length
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,No,No,K,Assessment length
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,No,No,K,Assessment length
Java Design Patterns (New),https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/,No,No,K,Assessment length
Java Frameworks (New),https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/,No,No,K,Assessment length
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,No,No,K,Assessment length
Java Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/,No,No,K,Assessment length
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,No,No,K,Assessment length
Jenkins (New),https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,No,No,K,Assessment length
Job Control Language (New),https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,No,No,K,Assessment length
jQuery (New),https://www.shl.com/solutions/products/product-catalog/view/jquery-new/,No,No,K,Assessment length
Kubernetes (New),https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/,No,No,K,Assessment length
Linux Administration (New),https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/,No,No,K,Assessment length
Linux Operating System,https://www.shl.com/solutions/products/product-catalog/view/linux-operating-system/,No,No,K,Assessment length
Linux Programming (General),https://www.shl.com/solutions/products/product-catalog/view/linux-programming-general/,No,No,K,Assessment length
Load Runner (New),https://www.shl.com/solutions/products/product-catalog/view/load-runner-new/,No,No,K,Assessment length
Management Scenarios,https://www.shl.com/solutions/products/product-catalog/view/management-scenarios/,No,No,B,Assessment length
Managerial Scenarios Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/,No,No,B,
Managerial Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/,No,No,B,
Managerial Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-profile-report/,No,No,B,
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,No,No,K,Assessment length
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,No,No,"A
P",Assessment length
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,No,No,P,Assessment length
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/essential-focus-8-0/,No,No,P,Assessment length
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-focus-8-0/,No,No,"A
P",Assessment length
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/vigilance-focus-8-0/,No,No,"A
P",Assessment length
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,No,No,K,Assessment length
Maven (New),https://www.shl.com/solutions/products/product-catalog/view/maven-new/,No,No,K,Assessment length
Mechanical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechanical-engineering-new/,No,No,K,Assessment length
Mechatronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechatronics-engineering-new/,No,No,K,Assessment length
Medical Terminology (New),https://www.shl.com/solutions/products/product-catalog/view/medical-terminology-new/,No,No,K,Assessment length
Metallurgical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/metallurgical-engineering-new/,No,No,K,Assessment length
MFS 360 Enterprise Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,No,No,D,
MFS 360 UCF Group Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,No,No,D,
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,No,No,D,
MFS 360 UCF Standard Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/,No,No,D,
Micro Focus Unified Functional Testing (New),https://www.shl.com/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/,No,No,K,Assessment length
Microservices (New),https://www.shl.com/solutions/products/product-catalog/view/microservices-new/,No,No,K,Assessment length
Microsoft Dynamics Development (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-dynamics-development-new/,No,No,K,Assessment length
Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,No,No,"K
S",Assessment length
Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,No,No,"K
S",Assessment length
Microsoft Outlook 2013 (adaptive),https://www.shl.com/solutions/products/product-catalog/view/microsoft-outlook-2013-adaptive/,No,No,K,Assessment length
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,No,No,"K
S",Assessment length
Microsoft SQL Server 2014 Programming,https://www.shl.com/solutions/products/product-catalog/view/microsoft-sql-server-2014-programming/,No,No,K,Assessment length
Microsoft Windows Server 2012 Administration,https://www.shl.com/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/,No,No,K,Assessment length
Microsoft Word 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/,No,No,"K
S",Assessment length
Microsoft Word 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/,No,No,"S
K",Assessment length
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,No,No,K,Assessment length
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,No,No,K,Assessment length
Mobility (New),https://www.shl.com/solutions/products/product-catalog/view/mobility-new/,No,No,K,Assessment length
Molecular Biology (New),https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/,No,No,K,Assessment length
MongoDB (New),https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/,No,No,K,Assessment length
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,No,No,P,Assessment length
MQ Candidate Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/,No,No,P,
MQ Employee Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/,No,No,P,
MQ Motivation Report Pack,https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/,No,No,P,
MQ Profile,https://www.shl.com/solutions/products/product-catalog/view/mq-profile/,No,No,P,
MS Access (New),https://www.shl.com/solutions/products/product-catalog/view/ms-access-new/,No,No,K,Assessment length
MS Excel (New),https://www.shl.com/solutions/products/product-catalog/view/ms-excel-new/,No,No,K,Assessment length
MS Office Basic Computer Literacy (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,No,No,K,Assessment length
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,No,No,S,Assessment length
MS PowerPoint (New),https://www.shl.com/solutions/products/product-catalog/view/ms-powerpoint-new/,No,No,K,Assessment length
MS Word (New),https://www.shl.com/solutions/products/product-catalog/view/ms-word-new/,No,No,K,Assessment length
MuleSoft Development (New),https://www.shl.com/solutions/products/product-catalog/view/mulesoft-development-new/,No,No,K,Assessment length
Multitasking Ability,https://www.shl.com/solutions/products/product-catalog/view/multitasking-ability/,No,No,"A
K
S",Assessment length
Networking and Implementation (New),https://www.shl.com/solutions/products/product-catalog/view/networking-and-implementation-new/,No,No,K,Assessment length
Node.js (New),https://www.shl.com/solutions/products/product-catalog/view/node-js-new/,No,No,K,Assessment length
Nursing (New),https://www.shl.com/solutions/products/product-catalog/view/nursing-new/,No,No,K,Assessment length
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,No,No,P,Assessment length
Operations Management (New),https://www.shl.com/solutions/products/product-catalog/view/operations-management-new/,No,No,K,Assessment length
OPQ Candidate Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-plus-report/,No,No,P,
OPQ Candidate Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-report-2-0/,No,No,P,
OPQ Emotional Intelligence Report,https://www.shl.com/solutions/products/product-catalog/view/opq-emotional-intelligence-report/,No,No,P,
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,No,No,P,
OPQ Manager Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report/,No,No,P,
OPQ Manager Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report-2-0/,No,No,P,
OPQ Maximising your Learning Report,https://www.shl.com/solutions/products/product-catalog/view/opq-maximising-your-learning-report/,No,No,P,
OPQ MQ Sales Report,https://www.shl.com/solutions/products/product-catalog/view/opq-mq-sales-report/,No,No,P,
OPQ Premium Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report/,No,No,P,
OPQ Premium Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report-2-0/,No,No,P,
OPQ Profile Report,https://www.shl.com/solutions/products/product-catalog/view/opq-profile-report/,No,No,P,
OPQ Team Impact Group Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-group-development-report/,No,No,P,
OPQ Team Impact Individual Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-individual-development-report/,No,No,P,
OPQ Team Impact Selection Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-selection-report/,No,No,P,
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,No,No,P,
OPQ Team Types and Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,No,No,P,
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report/,No,No,P,
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,No,No,P,
OPQ Universal Competency Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report/,No,No,P,
OPQ Universal Competency Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report-2-0/,No,No,P,
OPQ User and Managers Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-and-managers-report/,No,No,P,
OPQ User Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-report/,No,No,"P
S",
Oracle DBA (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/,No,No,K,Assessment length
Oracle DBA (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-entry-level-new/,No,No,K,Assessment length
Oracle PL/SQL (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-plsql-new/,No,No,K,Assessment length
Oracle WebLogic Server (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-weblogic-server-new/,No,No,K,Assessment length
Organic Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/organic-chemistry-new/,No,No,K,Assessment length
Paint Technology (New),https://www.shl.com/solutions/products/product-catalog/view/paint-technology-new/,No,No,K,Assessment length
Pediatrics (New),https://www.shl.com/solutions/products/product-catalog/view/pediatrics-new/,No,No,K,Assessment length
Pega Development (New),https://www.shl.com/solutions/products/product-catalog/view/pega-development-new/,No,No,K,Assessment length
Perl (New),https://www.shl.com/solutions/products/product-catalog/view/perl-new/,No,No,K,Assessment length
Petrochemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petrochemical-engineering-new/,No,No,K,Assessment length
Petroleum Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petroleum-engineering-new/,No,No,K,Assessment length
Pharmaceutical Analysis (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-analysis-new/,No,No,K,Assessment length
Pharmaceutical Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-chemistry-new/,No,No,K,Assessment length
Pharmaceutical Science (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-science-new/,No,No,K,Assessment length
Pharmaceutics (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutics-new/,No,No,K,Assessment length
Pharmacology (New),https://www.shl.com/solutions/products/product-catalog/view/pharmacology-new/,No,No,K,Assessment length
PHP (New),https://www.shl.com/solutions/products/product-catalog/view/php-new/,No,No,K,Assessment length
PJM Development Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-development-report/,No,No,"C
A
P",
PJM Selection Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-selection-report/,No,No,"A
C
P",
Polymer Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/polymer-engineering-new/,No,No,K,Assessment length
Power Electronics and Drives (New),https://www.shl.com/solutions/products/product-catalog/view/power-electronics-and-drives-new/,No,No,K,Assessment length
Power System Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/power-system-engineering-new/,No,No,K,Assessment length
Prism (New),https://www.shl.com/solutions/products/product-catalog/view/prism-new/,No,No,K,Assessment length
Production and Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-and-industrial-engineering-new/,No,No,K,Assessment length
Production Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-engineering-new/,No,No,K,Assessment length
Programming Concepts,https://www.shl.com/solutions/products/product-catalog/view/programming-concepts/,No,No,K,Assessment length
Project Management (2013),https://www.shl.com/solutions/products/product-catalog/view/project-management-2013/,No,No,K,Assessment length
Proofreading v1,https://www.shl.com/solutions/products/product-catalog/view/proofreading-v1/,No,No,K,Assessment length
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,No,No,K,Assessment length
R Programming (New),https://www.shl.com/solutions/products/product-catalog/view/r-programming-new/,No,No,K,Assessment length
ReactJS (New),https://www.shl.com/solutions/products/product-catalog/view/reactjs-new/,No,No,K,Assessment length
Reading Comprehension - English v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-english-v1/,No,No,A,Assessment length
Reading Comprehension - Spanish v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-spanish-v1/,No,No,A,Assessment length
Reading Comprehension v2,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-v2/,No,No,A,Assessment length
RemoteWorkQ,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq/,No,No,C,Assessment length
RemoteWorkQ Manager Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-manager-report/,No,No,C,
RemoteWorkQ Participant Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-participant-report/,No,No,C,
RESTful Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/restful-web-services-new/,No,No,K,Assessment length
Retail Sales and Service Simulation,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-and-service-simulation/,No,No,"B
K
S
A",Assessment length
Reviewing Forms - US (R1),https://www.shl.com/solutions/products/product-catalog/view/reviewing-forms-us-r1/,No,No,K,Assessment length
Ruby (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-new/,No,No,K,Assessment length
Ruby on Rails (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-on-rails-new/,No,No,K,Assessment length
Sales & Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-simulation/,No,No,"S
B",Assessment length
Sales & Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-solution/,No,No,"B
P
S",Assessment length
Sales Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/sales-interview-guide/,No,No,"P
P",Assessment length
Sales Profiler Cards,https://www.shl.com/solutions/products/product-catalog/view/sales-profiler-cards/,No,No,P,Assessment length
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-individual-contributor/,No,No,P,
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,No,No,P,
Sales Transformation Report 1.0 - Sales Manager,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-sales-manager/,No,No,P,
Sales Transformation Report 2.0 - Sales Manager,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,No,No,P,
Salesforce Development (New),https://www.shl.com/solutions/products/product-catalog/view/salesforce-development-new/,No,No,K,Assessment length
SAP ABAP (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-abap-advanced-level-new/,No,No,K,Assessment length
SAP ABAP (Intermediate Level) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-abap-intermediate-level-new/,No,No,K,Assessment length
SAP Basis (New),https://www.shl.com/solutions/products/product-catalog/view/sap-basis-new/,No,No,K,Assessment length
SAP Business Objects WebI (New),https://www.shl.com/solutions/products/product-catalog/view/sap-business-objects-webi-new/,No,No,K,Assessment length
SAP BW (Business Warehouse) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-bw-business-warehouse-new/,No,No,K,Assessment length
SAP HCM (Human Capital Management) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-hcm-human-capital-management-new/,No,No,K,Assessment length
SAP Hybris (New),https://www.shl.com/solutions/products/product-catalog/view/sap-hybris-new/,No,No,K,Assessment length
SAP Materials Management (New),https://www.shl.com/solutions/products/product-catalog/view/sap-materials-management-new/,No,No,K,Assessment length
SAP SD (Sales and Distribution) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-sd-sales-and-distribution-new/,No,No,K,Assessment length
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,No,No,K,Assessment length
Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,No,No,K,Assessment length
Shell Scripting (New),https://www.shl.com/solutions/products/product-catalog/view/shell-scripting-new/,No,No,K,Assessment length
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,No,No,"A
S",Assessment length
SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,No,No,"A
S",Assessment length
SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,No,No,"A
S",Assessment length
SHL Verify Interactive G+,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-g/,No,No,A,Assessment length
SHL Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,No,No,A,Assessment length
